Date,60-day
17/9/2012, 0.2873 
14/9/2012, 0.3002 
13/9/2012, 0.3012 
12/9/2012, 0.3253 
11/9/2012, 0.3248 
10/9/2012, 0.3280 
7/9/2012, 0.3258 
6/9/2012, 0.3305 
5/9/2012, 0.3172 
4/9/2012, 0.3222 
3/9/2012, 0.3272 
31/8/2012, 0.3368 
30/8/2012, 0.3365 
29/8/2012, 0.3336 
28/8/2012, 0.3533 
27/8/2012, 0.3547 
24/8/2012, 0.3538 
23/8/2012, 0.3823 
22/8/2012, 0.3797 
21/8/2012, 0.3930 
20/8/2012, 0.3982 
17/8/2012, 0.4010 
16/8/2012, 0.4014 
15/8/2012, 0.3989 
14/8/2012, 0.3973 
13/8/2012, 0.3968 
10/8/2012, 0.4052 
9/8/2012, 0.4097 
8/8/2012, 0.4259 
7/8/2012, 0.4285 
6/8/2012, 0.4323 
3/8/2012, 0.4378 
2/8/2012, 0.4294 
1/8/2012, 0.4319 
31/7/2012, 0.4340 
30/7/2012, 0.4342 
27/7/2012, 0.4361 
26/7/2012, 0.4308 
25/7/2012, 0.4310 
24/7/2012, 0.4335 
23/7/2012, 0.4321 
20/7/2012, 0.4275 
19/7/2012, 0.4231 
18/7/2012, 0.4259 
17/7/2012, 0.4343 
16/7/2012, 0.4314 
13/7/2012, 0.4350 
12/7/2012, 0.4236 
11/7/2012, 0.4219 
10/7/2012, 0.4227 
9/7/2012, 0.4292 
6/7/2012, 0.4269 
5/7/2012, 0.4283 
4/7/2012, 0.4353 
3/7/2012, 0.4354 
2/7/2012, 0.4485 
29/6/2012, 0.4556 
28/6/2012, 0.4408 
27/6/2012, 0.4430 
26/6/2012, 0.4444 
25/6/2012, 0.4429 
22/6/2012, 0.4364 
21/6/2012, 0.4357 
20/6/2012, 0.4165 
19/6/2012, 0.4176 
18/6/2012, 0.4144 
15/6/2012, 0.4227 
14/6/2012, 0.4209 
13/6/2012, 0.4182 
12/6/2012, 0.4156 
11/6/2012, 0.4115 
8/6/2012, 0.4038 
7/6/2012, 0.4004 
6/6/2012, 0.4018 
5/6/2012, 0.3749 
4/6/2012, 0.3839 
1/6/2012, 0.3851 
31/5/2012, 0.3595 
30/5/2012, 0.3662 
29/5/2012, 0.3551 
28/5/2012, 0.3612 
25/5/2012, 0.3571 
24/5/2012, 0.3578 
23/5/2012, 0.3611 
22/5/2012, 0.3616 
21/5/2012, 0.3608 
18/5/2012, 0.3443 
17/5/2012, 0.3397 
16/5/2012, 0.3200 
15/5/2012, 0.3192 
14/5/2012, 0.3175 
11/5/2012, 0.3140 
10/5/2012, 0.3131 
9/5/2012, 0.3217 
8/5/2012, 0.3204 
7/5/2012, 0.3201 
4/5/2012, 0.3222 
3/5/2012, 0.3162 
2/5/2012, 0.3121 
1/5/2012, 0.3121 
30/4/2012, 0.3102 
27/4/2012, 0.3099 
26/4/2012, 0.3206 
25/4/2012, 0.3196 
24/4/2012, 0.3193 
23/4/2012, 0.3222 
20/4/2012, 0.3166 
19/4/2012, 0.3155 
18/4/2012, 0.3135 
17/4/2012, 0.3136 
16/4/2012, 0.2997 
13/4/2012, 0.3001 
12/4/2012, 0.2899 
11/4/2012, 0.2750 
10/4/2012, 0.2747 
9/4/2012, 0.2444 
6/4/2012, 0.2335 
5/4/2012, 0.2336 
4/4/2012, 0.2320 
3/4/2012, 0.2193 
2/4/2012, 0.2235 
30/3/2012, 0.2214 
29/3/2012, 0.2208 
28/3/2012, 0.2202 
27/3/2012, 0.2166 
26/3/2012, 0.2149 
23/3/2012, 0.2079 
22/3/2012, 0.2109 
21/3/2012, 0.2117 
20/3/2012, 0.2300 
19/3/2012, 0.2269 
16/3/2012, 0.2286 
15/3/2012, 0.2314 
14/3/2012, 0.2330 
13/3/2012, 0.2269 
12/3/2012, 0.2649 
9/3/2012, 0.2794 
8/3/2012, 0.2769 
7/3/2012, 0.2718 
6/3/2012, 0.2779 
5/3/2012, 0.2686 
2/3/2012, 0.2821 
1/3/2012, 0.2946 
29/2/2012, 0.3246 
28/2/2012, 0.3236 
27/2/2012, 0.3243 
24/2/2012, 0.3269 
23/2/2012, 0.3244 
22/2/2012, 0.3248 
21/2/2012, 0.3906 
20/2/2012, 0.3889 
17/2/2012, 0.4107 
16/2/2012, 0.4123 
15/2/2012, 0.4146 
14/2/2012, 0.4377 
13/2/2012, 0.4390 
10/2/2012, 0.4506 
9/2/2012, 0.4472 
8/2/2012, 0.4583 
7/2/2012, 0.4675 
6/2/2012, 0.4692 
3/2/2012, 0.4737 
2/2/2012, 0.4805 
1/2/2012, 0.4846 
31/1/2012, 0.5191 
30/1/2012, 0.5204 
27/1/2012, 0.5186 
26/1/2012, 0.5187 
25/1/2012, 0.5265 
24/1/2012, 0.5309 
23/1/2012, 0.5505 
20/1/2012, 0.5621 
19/1/2012, 0.5569 
18/1/2012, 0.5749 
17/1/2012, 0.5704 
16/1/2012, 0.5785 
13/1/2012, 0.5778 
12/1/2012, 0.5812 
11/1/2012, 0.5799 
10/1/2012, 0.5821 
9/1/2012, 0.5846 
6/1/2012, 0.5923 
5/1/2012, 0.5948 
4/1/2012, 0.5928 
